GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
0.6400000000000006,0.6428571428571428,3,3.5,2.5,8.67,1,0.8
0.5600000000000005,0.6428571428571428,3,4.0,3.0,8.8,0,0.63
1.0,1.0,5,4.5,4.5,9.91,1,0.97
0.6000000000000005,0.4285714285714284,3,3.0,2.5,8.57,1,0.74
0.5,0.2857142857142856,1,2.0,2.5,7.95,0,0.58
0.5,0.5357142857142856,2,4.0,3.0,8.5,1,0.56
0.6800000000000006,0.6428571428571428,3,3.5,4.0,8.87,1,0.8
0.5800000000000001,0.5714285714285712,2,2.5,3.0,8.76,0,0.66
0.8200000000000003,0.8571428571428568,5,5.0,5.0,9.38,1,0.93
0.5600000000000005,0.5,2,4.0,4.0,7.92,1,0.64
0.28000000000000025,0.2857142857142856,2,2.5,3.5,8.07,0,0.64
0.7000000000000002,0.6785714285714284,4,4.0,4.5,9.11,1,0.83
0.1200000000000001,0.25,2,3.0,3.5,7.28,0,0.47
0.45999999999999996,0.3928571428571428,3,4.0,4.0,8.75,0,0.76
0.20000000000000018,0.4285714285714284,3,3.5,3.0,8.16,0,0.71
0.3000000000000007,0.4642857142857144,2,3.0,4.0,8.13,0,0.66
0.6200000000000001,0.6071428571428572,3,3.0,3.0,8.54,1,0.79
0.6400000000000006,0.4285714285714284,3,3.5,4.0,8.84,1,0.78
0.1800000000000006,0.2857142857142856,1,1.5,2.0,7.89,0,0.59
0.7800000000000002,0.7857142857142856,2,2.0,4.0,8.56,1,0.72
0.41999999999999993,0.4285714285714284,2,2.5,3.5,8.48,0,0.71
0.3000000000000007,0.5714285714285712,5,3.0,3.0,8.48,0,0.61
0.54,0.5357142857142856,3,4.0,3.0,8.7,0,0.66
0.7400000000000002,0.7857142857142856,3,3.0,3.0,9.02,0,0.61
0.6800000000000006,0.4642857142857144,3,3.0,4.0,8.75,0,0.79
0.3600000000000003,0.3214285714285712,2,3.0,4.0,7.9,0,0.68
0.2600000000000007,0.3571428571428572,3,3.5,3.0,8.5,0,0.62
0.5200000000000005,0.2857142857142856,2,1.5,3.0,8.16,1,0.71
0.54,0.5,2,2.0,3.5,8.12,0,0.73
0.45999999999999996,0.3214285714285712,3,2.5,3.0,8.04,0,0.62
0.2600000000000007,0.4642857142857144,5,5.0,4.5,8.65,0,0.77
0.34000000000000075,0.4642857142857144,2,2.0,3.5,8.1,0,0.53
0.2400000000000002,0.25,2,1.0,2.0,7.97,0,0.56
0.2400000000000002,0.3214285714285712,2,2.5,3.5,7.96,0,0.46
0.6000000000000005,1.0,3,4.0,4.5,9.11,0,0.86
0.3799999999999999,0.2857142857142856,2,3.0,3.0,8.1,0,0.48
0.08000000000000007,0.03571428571428559,1,1.5,2.0,7.36,0,0.46
0.8200000000000003,0.8571428571428568,5,4.0,4.0,9.26,1,0.93
0.6200000000000001,0.6071428571428572,3,3.5,3.5,8.8,1,0.74
0.54,0.6428571428571428,3,4.0,4.5,9.11,1,0.8
0.3799999999999999,0.4285714285714284,2,2.0,2.5,8.26,0,0.65
0.28000000000000025,0.3928571428571428,5,5.0,4.0,8.64,0,0.68
0.5800000000000001,0.5,3,4.0,3.0,8.0,1,0.65
0.1800000000000006,0.07142857142857117,1,1.0,1.0,7.34,0,0.42
0.9199999999999999,0.9642857142857144,5,4.0,3.5,9.8,1,0.97
0.6000000000000005,0.6785714285714284,4,4.5,3.5,8.87,1,0.85
0.7000000000000002,0.6428571428571428,4,3.5,4.0,8.67,1,0.73
0.3600000000000003,0.5,3,3.5,2.5,8.21,1,0.75
0.45999999999999996,0.3571428571428572,3,2.0,3.0,8.27,0,0.64
0.7600000000000007,0.6428571428571428,4,4.0,2.5,9.02,1,0.81
0.7600000000000007,0.5714285714285712,4,4.5,4.0,9.18,1,0.84
0.6000000000000005,0.75,2,2.0,2.5,8.64,1,0.81
0.7200000000000006,0.3571428571428572,4,5.0,5.0,8.76,1,0.77
0.5800000000000001,0.6428571428571428,3,3.5,3.5,9.04,0,0.82
0.7400000000000002,0.4285714285714284,5,3.0,3.5,8.84,1,0.71
0.5200000000000005,0.6071428571428572,3,3.5,3.0,8.76,0,0.77
0.6800000000000006,0.6785714285714284,4,3.0,3.0,9.01,1,0.82
0.45999999999999996,0.3571428571428572,3,2.5,2.5,8.68,0,0.71
0.6800000000000006,0.6428571428571428,4,3.0,3.5,8.97,1,0.84
0.7000000000000002,0.7142857142857144,4,4.0,4.0,9.0,1,0.8
0.1800000000000006,0.5,2,4.0,4.0,8.4,0,0.64
0.5600000000000005,0.6071428571428572,1,3.5,3.5,9.12,0,0.78
0.20000000000000018,0.3571428571428572,2,1.5,2.0,7.87,0,0.56
0.4400000000000004,0.6071428571428572,3,3.0,3.0,8.69,0,0.77
